Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2014-10-01,2018.050048828125,93714040000,4630.740234375,50136190000,17390.51953125,2903240000,1173.510009765625,93694040000,6546.5,20158414000,16413.759765625,3436700000,4510,86.87999725341797,16.53
2014-11-01,2067.56005859375,63600190000,4791.6298828125,32967990000,17828.240234375,1516490000,1173.22998046875,63570190000,6722.60009765625,14266358300,17459.849609375,3155400000,299410,88.36000061035156,13.33
2014-12-01,2058.89990234375,80743820000,4736.0498046875,39587090000,17823.0703125,2216900000,1204.699951171875,80713820000,6566.10009765625,13989469200,17450.76953125,2962900000,11140,90.2699966430664,15.155000000000001
2015-01-01,1994.989990234375,77330040000,4635.240234375,38719030000,17164.94921875,2173260000,1165.3900146484375,77300040000,6749.39990234375,15644596100,17674.390625,2691500000,258615,94.80000305175781,19.455
2015-04-01,2085.510009765625,72060940000,4941.419921875,37409760000,17840.51953125,2174880000,1220.1300048828125,69440940000,6960.60009765625,14644991100,19520.009765625,3047400000,7838,94.5999984741211,13.3
2015-05-01,2107.389892578125,65187730000,5070.02978515625,35994540000,18010.6796875,1832450000,1246.530029296875,65187730000,6984.39990234375,15318287400,20563.150390625,3291500000,258123,96.91000366210938,13.075
2015-06-01,2063.110107421875,73213980000,4986.8701171875,41338820000,17619.509765625,2219240000,1253.949951171875,73192620000,6521.0,16012377600,20235.73046875,3459500000,6252,95.48999786376953,14.015
2015-07-01,2103.840087890625,77920590000,5128.27978515625,40633420000,17689.859375,2034220000,1238.6800537109375,77920590000,6696.2998046875,15435132500,20585.240234375,3318200000,216892,97.37000274658203,13.405
2015-08-01,1972.1800537109375,84626790000,4776.509765625,43408300000,16528.029296875,2726340000,1159.449951171875,84596790000,6247.89990234375,17165806900,18890.48046875,3723100000,13251,95.94999694824219,13.77
2015-09-01,1920.030029296875,79989370000,4620.16015625,41503920000,16284.7001953125,2724080000,1100.68994140625,79958370000,6061.60009765625,17973431900,17388.150390625,3132300000,9119,96.3499984741211,24.25
2015-10-01,2079.360107421875,85844900000,5053.75,42348240000,17663.5390625,2605470000,1161.8599853515625,85804900000,6361.10009765625,15357871100,19083.099609375,2979600000,4321,96.94999694824219,16.11
2015-12-01,2043.93994140625,83649260000,5007.41015625,40617940000,17425.029296875,2521440000,1135.8900146484375,83609260000,6242.2998046875,13433251400,19033.7109375,2749100000,10149,98.62999725341797,17.73
2016-01-01,1940.239990234375,92409770000,4613.9501953125,44877130000,16466.30078125,2844080000,1035.3800048828125,92409770000,6083.7998046875,17403133600,17518.30078125,3235900000,229558,99.61000061035156,23.95
2016-02-01,1932.22998046875,93049560000,4557.9501953125,43108650000,16516.5,2491810000,1033.9000244140625,92998480000,6097.10009765625,19208966500,16026.759765625,4174100000,13930,98.20999908447266,21.744999999999997
2016-03-01,2059.739990234375,92639420000,4869.85009765625,40738880000,17685.08984375,2407750000,1114.030029296875,92639420000,6174.89990234375,16590666300,16758.669921875,3307500000,244751,94.58999633789062,15.870000000000001
2016-04-01,2065.300048828125,81124990000,4775.35986328125,38014300000,17773.640625,2096650000,1130.8499755859375,81124990000,6241.89990234375,15817457800,16666.05078125,3230600000,9954,93.08000183105469,13.96
2016-06-01,2098.860107421875,86852700000,4842.669921875,44213900000,17929.990234375,2350020000,1151.9200439453125,86802700000,6504.2998046875,24836871900,15575.919921875,3093000000,13380,96.13999938964844,17.810000000000002
2016-07-01,2173.60009765625,69530250000,5162.1298828125,36050040000,18432.240234375,1816520000,1219.93994140625,69530250000,6724.39990234375,19192240800,16569.26953125,2816900000,281653,95.52999877929688,12.85
2016-08-01,2170.949951171875,75610310000,5213.22021484375,38754780000,18400.880859375,1695750000,1239.9100341796875,75610310000,6781.5,15725368400,16887.400390625,2675600000,11854,96.0199966430664,12.38
2016-09-01,2168.27001953125,77023620000,5312.0,40112010000,18308.150390625,2101120000,1251.6500244140625,77023620000,6899.2998046875,18132999100,16449.83984375,2493200000,18630,95.45999908447266,13.48
2016-10-01,2126.14990234375,72915530000,5189.14013671875,34708450000,18142.419921875,1793690000,1191.3900146484375,72915530000,6954.2001953125,18708869600,17425.01953125,2222800000,5775,98.44999694824219,14.24
2016-11-01,2198.81005859375,88445380000,5323.68017578125,41950260000,19123.580078125,2107770000,1322.3399658203125,88445380000,6783.7998046875,20197573900,18308.48046875,3226000000,242622,101.5,13.72
2016-12-01,2238.830078125,75344550000,5383.1201171875,38648510000,19762.599609375,5952470000,1357.1300048828125,75344550000,7142.7998046875,14991595900,19114.369140625,3038700000,9972,102.38999938964844,12.22
2017-02-01,2363.639892578125,69260940000,5825.43994140625,36811150000,20812.240234375,6185580000,1386.6800537109375,69260940000,7263.39990234375,16446446100,19118.990234375,2606300000,11087,101.12000274658203,11.49
2017-03-01,2362.719970703125,81664010000,5911.740234375,44064880000,20663.220703125,6941970000,1385.9200439453125,81664010000,7322.89990234375,20039972500,18909.259765625,2646000000,251026,100.3499984741211,11.66
2017-04-01,2384.199951171875,65369860000,6047.60986328125,33894020000,20940.509765625,5392630000,1400.4300537109375,65369860000,7203.89990234375,15771258600,19196.740234375,2178500000,9065,99.05000305175781,12.89
2017-05-01,2411.800048828125,79719460000,6198.52001953125,42405030000,21008.650390625,6613570000,1370.2099609375,79719460000,7520.0,18338797800,19650.5703125,2230200000,404733,96.91999816894531,10.440000000000001
2017-06-01,2423.409912109375,81078810000,6140.419921875,50292320000,21349.630859375,7214590000,1415.3599853515625,81078810000,7312.7001953125,19146718200,20033.4296875,2326500000,8948,95.66000366210938,10.434999999999999
2017-07-01,2470.300048828125,63348090000,6348.1201171875,36228200000,21891.119140625,5569720000,1425.1400146484375,63348090000,7372.0,16029984200,19925.1796875,1790600000,292633,92.86000061035156,10.004999999999999
2017-08-01,2471.64990234375,70784900000,6428.66015625,41368170000,21948.099609375,6150060000,1405.280029296875,70784900000,7430.60009765625,14502712300,19646.240234375,1876000000,10098,92.66999816894531,11.35
2017-09-01,2519.360107421875,66624120000,6495.9599609375,38354650000,22405.08984375,6342130000,1490.8599853515625,66624120000,7372.7998046875,15456243700,20356.279296875,1807500000,26808,93.08000183105469,10.175
2017-11-01,2647.580078125,73416960000,6873.97021484375,42080670000,24272.349609375,7335640000,1544.1400146484375,73416960000,7326.7001953125,18219002800,22724.9609375,1981200000,326214,93.01000213623047,10.2
2017-12-01,2673.610107421875,65531700000,6903.39013671875,38755950000,24719.220703125,6589890000,1535.510009765625,65531700000,7687.7998046875,13803243500,22764.939453125,1539000000,7596,92.12000274658203,10.17
2018-01-01,2823.81005859375,77318690000,7411.47998046875,44694030000,26149.390625,9116920000,1574.97998046875,77318690000,7533.60009765625,16511936800,23098.2890625,1606300000,338322,89.12999725341797,11.08
2018-02-01,2713.830078125,79933970000,7273.009765625,44063140000,25029.19921875,9450250000,1512.449951171875,79933970000,7231.89990234375,16611916700,22068.240234375,1840200000,10243,90.61000061035156,19.85
2018-03-01,2640.8701171875,76803890000,7063.4501953125,48760550000,24103.109375,8873040000,1529.4300537109375,76803890000,7056.60009765625,17113890000,21454.30078125,1732700000,356297,89.97000122070312,18.36
